phone,email,credit_score,age_group,family_background,income,employment_type,property_type,loan_amount,down_payment,property_search_frequency,budget_tool_usage,listing_saves,email_clicks,whatsapp_interactions,time_to_purchase,emi_affordability,job_stability,intent_score,high_intent
+91-7722558006,lead2943@example.com,584,36-50,Single,762226,Salaried,Villa,4206078,883352,2,2,4,1,2,14,2.27,8.8,53,False
+91-8512585138,lead2944@example.com,523,18-25,Single,367849,Business Owner,Apartment,2794783,649931,5,1,4,1,2,3,1.65,21.5,51,False
+91-7726990714,lead2945@example.com,603,36-50,Married with Kids,762374,Salaried,Apartment,4868884,1594786,4,3,5,1,2,6,1.96,2.9,62,True
+91-7601117291,lead2946@example.com,631,18-25,Married with Kids,348543,Self-Employed,Apartment,1993257,416992,4,2,3,1,2,2,2.19,1.4,54,False
+91-9347398593,lead2947@example.com,541,36-50,Married,704807,Salaried,Apartment,4149848,995072,5,1,4,0,1,8,2.12,1.9,52,False
+91-9097302637,lead2948@example.com,611,26-35,Single,662086,Salaried,Villa,3730133,1080069,1,2,6,3,1,8,2.22,2.3,63,True
+91-7790479137,lead2949@example.com,648,36-50,Single,762584,Salaried,Apartment,3957787,1146784,2,6,3,2,1,7,2.41,11.0,70,True
+91-9328460033,lead2950@example.com,633,36-50,Married with Kids,979601,Salaried,Commercial,6232301,1905563,4,0,4,2,6,11,1.96,8.8,67,True
+91-9756550636,lead2951@example.com,579,18-25,Single,403015,Salaried,Apartment,3068261,650141,3,1,8,2,3,3,1.64,0.9,59,False
+91-7252252252,lead2952@example.com,524,36-50,Single,874654,Salaried,Plot,4751499,1634905,3,1,5,1,5,1,2.3,1.5,74,True
+91-9250324141,lead2953@example.com,675,36-50,Married with Kids,844351,Salaried,Plot,4446436,1102093,1,2,6,0,6,6,2.37,4.0,74,True
+91-7145271935,lead2954@example.com,550,26-35,Married with Kids,637143,Salaried,Villa,3868710,1414847,2,4,3,3,6,7,2.06,1.8,59,False
+91-7319246679,lead2955@example.com,680,26-35,Married,611763,Salaried,Villa,3621151,1275859,4,2,10,2,4,24,2.11,4.9,68,True
+91-9869963931,lead2956@example.com,492,18-25,Married with Kids,201107,Salaried,Apartment,1298853,441745,4,3,3,3,4,5,1.94,23.8,57,False
+91-7208367732,lead2957@example.com,632,36-50,Single,1121767,Salaried,Villa,6595891,1545199,2,2,5,0,2,7,2.13,3.5,64,True
+91-7027418321,lead2958@example.com,592,36-50,Married with Kids,771958,Salaried,Apartment,5561035,1191895,3,0,4,0,1,3,1.74,5.9,53,False
+91-8771211118,lead2959@example.com,544,26-35,Married with Kids,476346,Salaried,Villa,2626335,735633,1,2,8,2,5,0,2.27,1.0,61,True
+91-7590521614,lead2960@example.com,596,36-50,Married,934055,Salaried,Plot,6886092,1549257,1,2,4,4,2,15,1.7,4.0,55,False
+91-9708842947,lead2961@example.com,787,51+,Single,1885953,Business Owner,Commercial,9884514,3442668,3,1,4,3,2,3,2.38,4.9,85,True
+91-7993998848,lead2962@example.com,654,18-25,Married with Kids,575863,Business Owner,Villa,3218505,687981,5,2,6,3,1,11,2.24,1.7,77,True
+91-7291920078,lead2963@example.com,654,36-50,Single,747277,Salaried,Apartment,4341359,1089797,3,0,5,1,5,4,2.15,0.4,79,True
+91-7648667392,lead2964@example.com,606,18-25,Married,299226,Salaried,Apartment,2203358,720468,4,0,6,2,2,16,1.7,7.8,43,False
+91-7039262289,lead2965@example.com,724,36-50,Married with Kids,847334,Salaried,Villa,5278106,1059831,0,3,4,2,3,15,2.01,0.7,63,True
+91-7939393836,lead2966@example.com,577,26-35,Married with Kids,655984,Business Owner,Apartment,3723048,789939,0,3,5,4,1,0,2.2,5.1,72,True
+91-9172106337,lead2967@example.com,611,26-35,Married,584907,Salaried,Commercial,3668611,1466057,3,2,9,1,0,7,1.99,3.3,58,False
+91-8958546579,lead2968@example.com,541,26-35,Single,402758,Salaried,Apartment,2247056,678945,4,2,6,1,4,3,2.24,6.9,61,True
+91-8602884797,lead2969@example.com,669,26-35,Married with Kids,535457,Salaried,Apartment,2941456,981041,2,0,4,1,2,5,2.28,14.2,49,False
+91-7259631271,lead2970@example.com,587,18-25,Married with Kids,338597,Salaried,Apartment,1927353,768371,2,2,1,4,3,2,2.2,4.8,53,False
+91-9653582116,lead2971@example.com,578,18-25,Single,335934,Salaried,Apartment,2332605,797986,2,2,2,4,4,13,1.8,3.2,41,False
+91-9739023440,lead2972@example.com,592,18-25,Married with Kids,298041,Salaried,Apartment,2223651,519855,7,0,4,5,7,7,1.68,3.9,59,False
+91-9863689749,lead2973@example.com,663,26-35,Married,490755,Salaried,Villa,3574813,1310633,1,1,10,1,4,9,1.72,5.0,60,True
+91-9647930485,lead2974@example.com,622,36-50,Single,1210317,Self-Employed,Apartment,6833540,2048331,5,3,4,1,5,21,2.21,0.9,75,True
+91-9075346043,lead2975@example.com,644,36-50,Single,956917,Salaried,Apartment,5906044,1877640,3,2,7,1,5,9,2.03,2.2,76,True
+91-9831604672,lead2976@example.com,620,36-50,Married,914764,Salaried,Villa,5518584,1687778,1,2,4,3,5,3,2.07,3.7,80,True
+91-9095318649,lead2977@example.com,594,36-50,Married with Kids,1190185,Self-Employed,Apartment,7759745,1626498,3,4,4,5,4,3,1.92,3.4,83,True
+91-7067567428,lead2978@example.com,561,26-35,Married with Kids,789784,Salaried,Villa,5522200,1486019,5,0,5,1,1,3,1.79,6.5,55,False
+91-7028399849,lead2979@example.com,681,26-35,Married,709142,Salaried,Villa,3585116,1428401,2,3,5,2,3,0,2.47,1.0,81,True
+91-9285835206,lead2980@example.com,605,18-25,Single,270778,Salaried,Apartment,1776298,486837,4,2,2,0,3,0,1.91,2.9,47,False
+91-9369291047,lead2981@example.com,649,26-35,Married,636206,Salaried,Apartment,3797361,1508333,2,2,8,1,2,6,2.09,6.4,55,False
+91-8766685440,lead2982@example.com,594,51+,Single,1093496,Salaried,Villa,7939209,2184618,1,0,5,3,4,3,1.72,3.8,65,True
+91-7050899550,lead2983@example.com,575,18-25,Married with Kids,275718,Self-Employed,Apartment,1399079,395110,4,3,3,1,1,2,2.46,1.8,50,False
+91-7071838242,lead2984@example.com,634,51+,Single,1220804,Self-Employed,Commercial,9590891,2857239,3,3,1,1,3,10,1.59,1.2,74,True
+91-9273831457,lead2985@example.com,680,26-35,Single,1053408,Business Owner,Villa,7502609,1534477,4,3,4,0,2,1,1.76,1.0,72,True
+91-8180002487,lead2986@example.com,739,36-50,Married,1602615,Business Owner,Apartment,12598218,4709964,5,2,5,2,4,0,1.59,8.0,96,True
+91-9300977631,lead2987@example.com,535,18-25,Married,434395,Self-Employed,Plot,2822846,931688,6,1,5,3,2,0,1.92,1.8,56,False
+91-8231317910,lead2988@example.com,628,26-35,Single,491709,Salaried,Apartment,3506293,1290215,4,2,6,0,4,6,1.75,2.8,48,False
+91-7073626894,lead2989@example.com,702,51+,Single,1266881,Salaried,Villa,6604051,2451899,3,4,5,1,2,8,2.4,3.5,94,True
+91-9157001409,lead2990@example.com,626,26-35,Married,562194,Self-Employed,Apartment,3868977,1394443,1,1,4,5,3,1,1.82,1.1,50,False
+91-9997281896,lead2991@example.com,621,36-50,Married with Kids,1082010,Salaried,Apartment,8497148,2094442,1,3,11,1,2,9,1.59,5.3,64,True
+91-9894949501,lead2992@example.com,616,36-50,Single,1014537,Salaried,Apartment,6691765,1515066,3,2,4,1,2,0,1.9,3.6,66,True
+91-8849297832,lead2993@example.com,649,36-50,Single,902395,Salaried,Apartment,6738425,2693124,1,3,8,3,1,7,1.67,25.0,73,True
+91-7769945233,lead2994@example.com,636,36-50,Single,559098,Freelancer,Apartment,3199659,1257836,4,2,4,0,3,2,2.18,4.4,60,True
+91-7459632043,lead2995@example.com,669,26-35,Married,601518,Salaried,Apartment,4727417,969919,1,1,8,1,3,19,1.59,3.8,53,False
+91-7413665007,lead2996@example.com,579,26-35,Married with Kids,558706,Salaried,Villa,3865349,989289,5,1,3,1,2,2,1.81,5.1,58,False
+91-9252218154,lead2997@example.com,532,18-25,Single,457692,Self-Employed,Plot,2565390,629431,0,2,1,5,4,9,2.23,1.2,57,False
+91-7639509845,lead2998@example.com,689,51+,Single,1523700,Self-Employed,Plot,10591131,2577770,4,2,3,1,3,2,1.8,2.7,79,True
+91-8034953269,lead2999@example.com,442,18-25,Married with Kids,318230,Salaried,Apartment,2284719,848734,1,3,4,0,2,0,1.74,4.6,48,False
+91-7824341906,lead3000@example.com,623,26-35,Married,630739,Salaried,Apartment,4141702,1504622,2,1,2,1,0,23,1.9,1.0,34,False
+91-9661938440,lead3001@example.com,623,26-35,Single,752297,Self-Employed,Apartment,5090967,1486976,4,1,5,3,2,10,1.85,2.8,56,False
+91-9261111254,lead3002@example.com,647,26-35,Married with Kids,1117781,Business Owner,Apartment,8383456,3011789,5,2,8,1,2,2,1.67,18.4,72,True
+91-8084127872,lead3003@example.com,627,26-35,Married with Kids,459030,Freelancer,Apartment,3534136,977795,4,2,2,6,4,6,1.62,2.3,56,False
+91-8522312933,lead3004@example.com,615,26-35,Single,483034,Salaried,Plot,3748238,841419,1,2,3,2,6,1,1.61,7.6,55,False
+91-8148151005,lead3005@example.com,735,51+,Married with Kids,1583278,Salaried,Apartment,8807900,2897776,2,3,7,2,5,7,2.25,10.5,85,True
+91-8704657157,lead3006@example.com,596,26-35,Married,591972,Salaried,Villa,3819808,879220,2,3,2,2,1,2,1.94,3.8,64,True
+91-7339385087,lead3007@example.com,474,26-35,Married with Kids,564069,Salaried,Villa,3630971,833123,6,2,5,2,6,11,1.94,1.8,76,True
+91-8602244331,lead3008@example.com,577,36-50,Single,507190,Salaried,Apartment,3021567,873811,3,3,5,2,3,1,2.1,28.8,81,True
+91-8743874444,lead3009@example.com,529,18-25,Single,243595,Freelancer,Commercial,1225266,479327,2,1,3,1,0,17,2.49,3.2,27,False
+91-8971380304,lead3010@example.com,655,36-50,Married,944816,Salaried,Apartment,6992463,1921580,2,2,3,0,4,1,1.69,5.8,79,True
+91-9426665919,lead3011@example.com,668,36-50,Married,674205,Salaried,Commercial,4760183,1059774,2,1,6,1,1,16,1.77,5.1,51,False
+91-8044569947,lead3012@example.com,803,51+,Single,1407960,Self-Employed,Apartment,9847335,3397961,2,1,6,3,4,0,1.79,4.7,91,True
+91-9994607170,lead3013@example.com,634,26-35,Married with Kids,775170,Self-Employed,Villa,5180805,1721755,2,4,3,2,4,1,1.87,1.6,64,True
+91-7970049535,lead3014@example.com,580,18-25,Married,459554,Business Owner,Apartment,2830129,1003580,2,3,9,1,3,6,2.03,3.4,53,False
+91-8288381269,lead3015@example.com,552,26-35,Single,702473,Salaried,Villa,4511025,1051378,3,2,5,1,5,8,1.95,3.1,59,False
+91-9937936410,lead3016@example.com,618,26-35,Single,556155,Salaried,Plot,4401488,1673015,1,0,7,1,1,7,1.58,11.6,46,False
+91-7346247039,lead3017@example.com,632,36-50,Married,844086,Salaried,Villa,5733712,1862482,1,1,4,1,3,11,1.84,8.8,51,False
+91-9807773530,lead3018@example.com,833,51+,Married with Kids,2347334,Business Owner,Plot,17968363,3631136,2,1,5,1,2,8,1.63,34.1,85,True
+91-9791275402,lead3019@example.com,501,26-35,Married,570212,Salaried,Plot,3729293,1426787,3,3,7,0,2,4,1.91,4.1,60,True
+91-7136083924,lead3020@example.com,615,26-35,Single,736884,Business Owner,Commercial,4615759,1180827,1,1,6,1,1,6,2.0,10.5,48,False
+91-7401581601,lead3021@example.com,669,26-35,Single,754168,Self-Employed,Apartment,4777708,1433515,6,2,6,3,2,5,1.97,2.4,76,True
+91-8740657035,lead3022@example.com,604,26-35,Single,404388,Salaried,Plot,2085946,460825,3,4,5,3,2,6,2.42,12.8,62,True
+91-8628926576,lead3023@example.com,651,36-50,Married with Kids,1536132,Business Owner,Villa,7712556,2541942,1,1,4,6,1,7,2.49,20.6,76,True
+91-8619930972,lead3024@example.com,644,26-35,Married,656967,Salaried,Plot,3494743,1229971,2,0,4,1,5,6,2.35,3.6,63,True
+91-9373834610,lead3025@example.com,601,18-25,Married,367561,Self-Employed,Apartment,2083390,523919,2,3,4,4,3,3,2.21,4.3,76,True
+91-9044426338,lead3026@example.com,713,36-50,Single,956855,Salaried,Plot,5376861,1424371,5,2,5,2,1,20,2.22,10.2,85,True
+91-7241011818,lead3027@example.com,637,26-35,Married,610554,Salaried,Villa,4620407,1788858,4,2,6,4,5,3,1.65,11.8,82,True
+91-9734812163,lead3028@example.com,592,26-35,Single,975241,Business Owner,Villa,7439768,1620838,2,3,5,2,1,23,1.64,3.0,59,False
+91-7040588163,lead3029@example.com,590,18-25,Married with Kids,262404,Salaried,Apartment,2077411,789906,4,4,4,5,0,2,1.58,2.9,54,False
+91-7736086849,lead3030@example.com,584,26-35,Married with Kids,386570,Freelancer,Plot,2944167,1084630,1,6,3,3,1,4,1.64,0.8,57,False
+91-7355134188,lead3031@example.com,636,26-35,Married with Kids,1213806,Business Owner,Apartment,9165110,3284402,4,4,9,0,2,11,1.66,9.6,76,True
+91-9146875428,lead3032@example.com,640,36-50,Married,991150,Salaried,Apartment,7381424,1939420,3,2,5,1,3,5,1.68,9.5,77,True
+91-8863627766,lead3033@example.com,637,26-35,Married,353399,Salaried,Plot,2180073,502608,2,1,5,1,7,28,2.03,3.2,44,False
+91-9769855512,lead3034@example.com,571,51+,Married with Kids,949828,Salaried,Apartment,4791876,1778546,4,3,7,1,3,11,2.48,1.8,88,True
+91-8422796478,lead3035@example.com,617,18-25,Married,280088,Salaried,Apartment,1527045,507568,7,1,5,2,2,8,2.29,9.3,52,False
+91-9430335702,lead3036@example.com,539,18-25,Single,245719,Freelancer,Apartment,1783821,642619,7,1,7,0,5,14,1.72,0.6,51,False
+91-7409575959,lead3037@example.com,583,36-50,Married with Kids,1001951,Salaried,Villa,7904237,2327664,3,3,7,1,2,4,1.58,15.5,79,True
+91-9268426402,lead3038@example.com,580,18-25,Single,357735,Self-Employed,Commercial,1860581,471031,3,5,7,1,3,22,2.4,2.6,58,False
+91-7182758417,lead3039@example.com,618,26-35,Married,647761,Salaried,Villa,5033265,1443402,3,2,3,2,1,2,1.61,8.6,51,False
+91-7986839603,lead3040@example.com,691,26-35,Married,593431,Freelancer,Apartment,4025183,1572549,1,0,2,5,4,1,1.84,0.8,69,True
+91-7908029328,lead3041@example.com,751,26-35,Married,734655,Salaried,Plot,5832717,1697694,3,1,8,0,3,11,1.57,1.3,70,True
+91-9973353078,lead3042@example.com,587,26-35,Married with Kids,631510,Salaried,Villa,4655252,1475402,3,5,3,2,8,9,1.7,9.4,72,True
+91-9434319360,lead3043@example.com,581,26-35,Married,704964,Salaried,Plot,4703192,1867120,2,3,3,3,2,14,1.87,0.4,45,False
+91-9042258186,lead3044@example.com,615,26-35,Married,506904,Salaried,Apartment,3609176,1425939,5,1,5,1,8,10,1.76,6.9,54,False
+91-8164344392,lead3045@example.com,699,36-50,Married,985588,Salaried,Villa,7450405,2958525,3,0,9,2,1,2,1.65,3.2,71,True
+91-7199982132,lead3046@example.com,669,18-25,Married with Kids,545105,Business Owner,Apartment,3846540,1209563,1,0,2,0,0,4,1.77,0.5,50,False
+91-7319322484,lead3047@example.com,693,51+,Married,1234967,Salaried,Plot,7785215,1808692,3,2,7,3,3,7,1.98,4.2,77,True
+91-9939599052,lead3048@example.com,712,26-35,Married,1045966,Business Owner,Apartment,5425632,1320659,3,2,8,6,5,6,2.41,8.5,98,True
+91-8204192904,lead3049@example.com,674,51+,Married with Kids,1252524,Salaried,Apartment,9890054,3510743,4,1,5,1,5,1,1.58,6.2,89,True
+91-9332299091,lead3050@example.com,659,26-35,Single,735796,Salaried,Apartment,5475331,2169849,3,2,5,2,2,4,1.68,2.2,67,True
+91-9420256439,lead3051@example.com,669,26-35,Single,665596,Salaried,Villa,3666579,1163446,2,1,7,1,7,7,2.27,1.0,78,True
+91-9826557688,lead3052@example.com,547,18-25,Single,398467,Salaried,Plot,2970054,922470,2,2,6,1,1,24,1.68,1.2,31,False
+91-7141312095,lead3053@example.com,555,18-25,Married,381570,Salaried,Villa,2083984,825870,0,1,6,0,2,4,2.29,3.5,46,False
+91-7770321709,lead3054@example.com,524,26-35,Married,757256,Self-Employed,Apartment,5751579,1386398,3,1,4,1,3,4,1.65,0.9,58,False
+91-8350701477,lead3055@example.com,552,18-25,Single,224683,Salaried,Apartment,1277517,425241,0,1,7,1,2,2,2.2,3.7,49,False
+91-7067251004,lead3056@example.com,587,26-35,Married,517350,Self-Employed,Villa,3542025,1294411,3,4,5,3,2,9,1.83,2.0,68,True
+91-7889737338,lead3057@example.com,660,36-50,Single,1038630,Self-Employed,Apartment,7553302,1779778,1,2,4,3,6,3,1.72,5.6,82,True
+91-9521300895,lead3058@example.com,684,51+,Married with Kids,1394435,Self-Employed,Plot,9823511,3443701,2,1,5,2,2,12,1.77,2.1,67,True
+91-7619298045,lead3059@example.com,583,18-25,Married with Kids,359391,Self-Employed,Apartment,2450749,844333,5,3,8,1,3,0,1.83,6.7,62,True
+91-8710668371,lead3060@example.com,565,26-35,Single,1029354,Business Owner,Commercial,6152856,2123058,1,3,7,1,2,6,2.09,14.1,78,True
+91-7330444012,lead3061@example.com,688,51+,Married,1135811,Freelancer,Apartment,7416752,1995031,4,1,4,4,2,0,1.91,1.6,81,True
+91-8285384455,lead3062@example.com,540,36-50,Married with Kids,1229508,Self-Employed,Apartment,7423787,2749841,1,1,6,6,6,3,2.07,9.0,83,True
+91-7697718498,lead3063@example.com,701,36-50,Married with Kids,1195164,Business Owner,Apartment,8936409,2232007,5,1,5,0,7,14,1.67,6.6,72,True
+91-9422182038,lead3064@example.com,582,26-35,Married,757666,Self-Employed,Commercial,4645001,1227856,3,1,4,0,4,4,2.04,1.5,59,False
+91-8032820212,lead3065@example.com,777,51+,Married,1508581,Salaried,Villa,8686655,2160794,2,5,8,0,4,0,2.17,3.1,100,True
+91-9433940416,lead3066@example.com,578,18-25,Married with Kids,185953,Salaried,Apartment,1186408,409489,3,5,6,0,4,5,1.96,16.6,55,False
+91-8671414897,lead3067@example.com,642,26-35,Single,627706,Salaried,Villa,3277361,1273101,2,1,1,1,1,0,2.39,0.5,55,False
+91-9907843037,lead3068@example.com,729,26-35,Married,489933,Salaried,Apartment,3733197,806112,0,1,7,1,2,1,1.64,0.3,50,False
+91-9321697981,lead3069@example.com,656,36-50,Married,926385,Salaried,Villa,4774326,1767808,5,3,6,2,6,1,2.43,1.7,100,True
+91-8424768819,lead3070@example.com,658,51+,Married,1037535,Salaried,Villa,5651343,1235420,4,3,6,4,6,0,2.29,8.5,100,True
+91-8648606935,lead3071@example.com,645,26-35,Single,664066,Salaried,Villa,4404826,1277543,3,1,2,1,1,13,1.88,2.1,39,False
+91-7601083212,lead3072@example.com,660,26-35,Single,734842,Salaried,Villa,4770937,1210886,3,0,4,1,2,3,1.93,24.4,55,False
+91-9960566236,lead3073@example.com,523,26-35,Married with Kids,659996,Salaried,Apartment,3902267,1100681,4,3,4,1,5,3,2.11,2.7,78,True
+91-7336844365,lead3074@example.com,627,18-25,Married,329985,Salaried,Apartment,1930532,486728,3,3,6,2,3,1,2.14,2.5,75,True
+91-9150888898,lead3075@example.com,589,26-35,Married,826270,Business Owner,Villa,5847626,1708987,3,2,2,2,3,5,1.77,1.4,60,True
+91-8485455239,lead3076@example.com,622,18-25,Married with Kids,288058,Salaried,Apartment,1808520,540704,2,6,6,2,6,0,1.99,17.1,59,False
+91-7230624431,lead3077@example.com,634,26-35,Married with Kids,410708,Freelancer,Plot,2616742,580552,1,3,5,1,3,20,1.96,0.2,40,False
+91-7419557255,lead3078@example.com,574,18-25,Married with Kids,312380,Self-Employed,Plot,1701444,654614,6,2,9,3,0,0,2.29,1.2,62,True
+91-8877279755,lead3079@example.com,676,51+,Married,1626290,Salaried,Apartment,9980255,3121994,3,3,6,4,5,0,2.04,5.2,98,True
+91-7997050893,lead3080@example.com,565,36-50,Married,940670,Salaried,Villa,6592014,1991162,2,0,4,2,2,2,1.78,0.7,65,True
+91-7326495888,lead3081@example.com,560,18-25,Single,159075,Freelancer,Apartment,830611,168373,0,1,6,5,1,19,2.39,0.2,40,False
+91-8462834697,lead3082@example.com,671,36-50,Married with Kids,899062,Salaried,Villa,6040822,1652362,7,2,5,1,5,0,1.86,0.5,98,True
+91-9599179944,lead3083@example.com,575,26-35,Married,881563,Business Owner,Apartment,6645691,1378573,2,1,10,3,6,1,1.66,9.3,77,True
+91-9636531097,lead3084@example.com,689,36-50,Married,1293834,Business Owner,Apartment,7582131,2448148,5,1,3,5,2,14,2.13,2.6,87,True
+91-9558119733,lead3085@example.com,688,36-50,Married with Kids,1487142,Business Owner,Villa,10972961,3493931,1,2,3,0,1,7,1.69,0.1,60,True
+91-8703826594,lead3086@example.com,624,26-35,Married with Kids,457623,Salaried,Commercial,2292305,802067,4,2,6,1,2,1,2.5,3.3,56,False
+91-8401777036,lead3087@example.com,602,26-35,Married,721883,Salaried,Apartment,4455447,942802,3,2,6,2,3,0,2.03,0.7,68,True
+91-7127241247,lead3088@example.com,704,36-50,Married,695421,Salaried,Villa,3837893,1264598,2,0,4,2,2,4,2.26,12.8,62,True
+91-9723537339,lead3089@example.com,655,26-35,Single,983914,Business Owner,Apartment,7379970,1740621,3,3,9,1,1,21,1.67,2.9,75,True
+91-8173930637,lead3090@example.com,639,36-50,Single,1085897,Salaried,Apartment,6528369,2151453,1,2,6,2,2,14,2.08,0.2,60,True
+91-8935098341,lead3091@example.com,638,36-50,Single,1067441,Salaried,Apartment,8039288,1771944,1,3,8,2,3,39,1.66,5.7,69,True
+91-9107125807,lead3092@example.com,599,18-25,Married with Kids,400414,Self-Employed,Apartment,2007497,792720,3,2,4,1,2,0,2.49,5.6,47,False
+91-7979846924,lead3093@example.com,654,36-50,Married with Kids,828545,Self-Employed,Apartment,4477854,1410375,5,1,4,3,7,5,2.31,4.6,96,True
+91-8528197464,lead3094@example.com,657,26-35,Single,905748,Business Owner,Apartment,5580144,1354068,3,2,4,1,1,2,2.03,10.6,94,True
+91-9375278922,lead3095@example.com,666,26-35,Single,765831,Salaried,Apartment,4374875,1025928,3,0,3,5,2,1,2.19,8.8,76,True
+91-8612446667,lead3096@example.com,557,26-35,Single,697439,Self-Employed,Villa,5430828,1902401,1,1,3,0,1,9,1.61,1.0,36,False
+91-8854772804,lead3097@example.com,738,36-50,Married,842718,Salaried,Apartment,6505768,2437424,4,3,7,2,4,1,1.62,3.8,100,True
+91-7797737957,lead3098@example.com,603,26-35,Married with Kids,364519,Salaried,Villa,1893211,402276,3,2,4,5,2,5,2.41,1.2,68,True
+91-9919267198,lead3099@example.com,625,36-50,Married,966578,Self-Employed,Commercial,6135016,1611595,3,2,7,1,2,4,1.97,1.1,70,True
+91-9516314486,lead3100@example.com,613,26-35,Single,706741,Salaried,Apartment,4234169,1420022,3,3,6,6,5,3,2.09,5.1,88,True
+91-9837564236,lead3101@example.com,599,18-25,Married with Kids,190772,Salaried,Villa,1452221,417389,1,5,3,3,2,1,1.64,8.5,54,False
+91-8632399901,lead3102@example.com,697,26-35,Married with Kids,721627,Salaried,Commercial,5427453,1765862,0,3,5,2,3,7,1.66,1.8,63,True
+91-7368053428,lead3103@example.com,664,26-35,Single,702284,Salaried,Plot,5403237,1557546,3,2,6,0,1,16,1.62,2.3,68,True
+91-9656935034,lead3104@example.com,644,36-50,Married with Kids,1177020,Salaried,Villa,7755194,2176989,6,2,6,2,6,1,1.9,6.7,87,True
+91-8268645208,lead3105@example.com,582,36-50,Single,704515,Freelancer,Apartment,3610545,935560,0,2,4,1,2,2,2.44,8.2,58,False
+91-8058493748,lead3106@example.com,662,26-35,Married with Kids,463239,Salaried,Apartment,2818158,1039288,0,2,7,1,1,5,2.05,14.4,57,False
+91-7315708805,lead3107@example.com,614,26-35,Single,568352,Salaried,Villa,3494934,809689,2,2,5,2,4,26,2.03,7.4,58,False
+91-7352350576,lead3108@example.com,603,26-35,Single,652484,Salaried,Apartment,4349284,1374897,2,2,7,1,5,1,1.88,1.5,63,True
+91-8150931110,lead3109@example.com,558,36-50,Married,923212,Salaried,Apartment,6028936,1812040,3,2,0,3,1,0,1.91,1.6,58,False
+91-7662373991,lead3110@example.com,668,51+,Married,682131,Freelancer,Apartment,4442001,1594428,7,4,2,3,3,12,1.92,4.2,85,True
+91-8632087531,lead3111@example.com,679,36-50,Single,1275425,Business Owner,Apartment,10069929,3151829,4,1,2,2,6,45,1.58,5.2,72,True
+91-9722583581,lead3112@example.com,724,51+,Married,1284876,Salaried,Villa,9287720,2987722,5,0,3,1,1,11,1.73,0.7,59,False
+91-7662614186,lead3113@example.com,601,26-35,Married,660188,Salaried,Apartment,3663896,791601,6,1,8,3,5,33,2.25,0.1,71,True
+91-8673413661,lead3114@example.com,572,18-25,Married,255613,Self-Employed,Commercial,1940102,558975,2,1,6,4,3,0,1.65,2.8,54,False
+91-8360122653,lead3115@example.com,587,18-25,Married with Kids,336384,Salaried,Villa,2364286,808562,2,4,7,0,6,19,1.78,4.5,53,False
+91-8549195708,lead3116@example.com,614,26-35,Single,556281,Self-Employed,Villa,3687828,790914,0,2,6,0,3,2,1.89,1.7,60,True
+91-7457632732,lead3117@example.com,639,36-50,Married,1103468,Self-Employed,Apartment,8147647,2087925,4,1,5,2,2,8,1.69,0.3,70,True
+91-7393077279,lead3118@example.com,625,26-35,Single,543814,Salaried,Villa,3936492,853656,4,5,8,2,5,11,1.73,2.2,81,True
+91-7022313296,lead3119@example.com,640,18-25,Married with Kids,337544,Salaried,Apartment,1803713,612631,2,3,5,4,3,10,2.34,16.9,50,False
+91-8323998648,lead3120@example.com,570,26-35,Married with Kids,509550,Salaried,Apartment,3702934,1337946,1,1,6,3,6,11,1.72,2.4,62,True
+91-8910126009,lead3121@example.com,571,18-25,Married,248466,Freelancer,Villa,1894738,494788,2,1,6,4,2,15,1.64,0.4,50,False
+91-8545833869,lead3122@example.com,574,26-35,Married,755274,Self-Employed,Villa,5694238,1653861,3,2,7,3,4,9,1.66,1.1,72,True
+91-8158638062,lead3123@example.com,620,51+,Married with Kids,1038867,Salaried,Villa,5577844,2046277,3,2,2,3,2,1,2.33,0.3,65,True
+91-7439080604,lead3124@example.com,664,36-50,Married,927873,Salaried,Villa,5173261,1463125,1,1,5,4,5,32,2.24,0.6,85,True
+91-7569113257,lead3125@example.com,585,36-50,Married,1006029,Salaried,Plot,6215004,1612942,3,2,12,4,5,33,2.02,4.8,83,True
+91-7374938761,lead3126@example.com,630,26-35,Married with Kids,634013,Salaried,Villa,3181865,906945,1,5,4,1,2,0,2.49,10.8,68,True
+91-7804841598,lead3127@example.com,567,18-25,Married,246439,Salaried,Plot,1543138,592802,1,2,3,2,3,16,2.0,5.2,33,False
+91-8851042925,lead3128@example.com,665,36-50,Married with Kids,937695,Freelancer,Apartment,5099796,1332907,3,4,6,5,3,4,2.3,1.0,99,True
+91-8927768913,lead3129@example.com,654,26-35,Married,696259,Self-Employed,Commercial,3532557,1338005,3,0,4,1,3,4,2.46,1.9,66,True
+91-9392232487,lead3130@example.com,743,36-50,Married,1036866,Salaried,Villa,6708132,1627576,1,3,2,1,4,7,1.93,10.0,65,True
+91-9382590159,lead3131@example.com,675,26-35,Married,616827,Salaried,Villa,4608567,1182214,3,2,3,5,2,15,1.67,2.7,63,True
+91-9200916676,lead3132@example.com,713,36-50,Married,939040,Salaried,Plot,5042482,1347691,2,5,3,1,1,1,2.33,5.9,87,True
+91-8752536389,lead3133@example.com,618,26-35,Married,639333,Salaried,Apartment,3482216,1215796,1,4,7,3,0,13,2.29,1.2,64,True
+91-7443639751,lead3134@example.com,523,18-25,Single,522876,Business Owner,Apartment,2895886,952832,2,3,5,1,2,29,2.26,3.6,53,False
